# Photometric Systems, CMD 3.2
#
# Retrieved: 2019-04-13 11:09:00
#
# ID    CMD_ID                                  Photometric system
#
0       2mass_spitzer                           2MASS + Spitzer (IRAC+MIPS)
1       2mass_spitzer_wise                      2MASS + Spitzer (IRAC+MIPS) + WISE
2       2mass                                   2MASS JHKs
3       ogle_2mass_spitzer                      OGLE + 2MASS + Spitzer (IRAC+MIPS)
4       2mass_spitzer_wise_washington_ddo51     2MASS+Spitzer+WISE+Washington+DDO51
5       ubvrijhk                                UBVRIJHK (cf. Maiz-Apellaniz 2006 + Bessell 1990)
6       bessell                                 UBVRIJHKLMN (cf. Bessell 1990 + Bessell &amp; Brett 1988)
7       akari                                   AKARI
8       batc                                    BATC
9       megacam_wircam                          CFHT Megacam + Wircam (all ABmags)
10      wircam                                  CFHT Wircam
11      megacam                                 CFHT/Megacam u*g'r'i'z'
12      ciber                                   CIBER
13      decam                                   DECAM (ABmags)
14      decam_vista                             DECAM ugrizY (ABmags) + VISTA ZYJHKs (Vegamags)
15      denis                                   DENIS
16      dmc14                                   DMC 14 filters
17      dmc15                                   DMC 15 filters
18      eis                                     ESO/EIS (WFI UBVRIZ + SOFI JHK)
19      wfi                                     ESO/WFI
20      wfi2                                    ESO/WFI2
21      euclid_nisp                             Euclid/NISP (ABmags)
22      galex_sloan                             GALEX FUV+NUV (Vegamag) + SDSS ugriz (ABmags)
23      galex                                   GALEX FUV+NUV + Johnson's UBV (Maiz-Apellaniz version), all Vegamags
24      gaia_tycho2_2mass                       Gaia DR1 + Tycho2 + 2MASS (all Vegamags)
25      gaiaDR2_tycho2_2mass                    Gaia DR2 + Tycho2 + 2MASS (all Vegamags, Gaia passbands from Evans et al. 2018)
26      gaiaDR2weiler_tycho2_2mass              Gaia DR2 + Tycho2 + 2MASS (all Vegamags, Gaia passbands from Weiler 2018)
27      gaia                                    Gaia's DR1 G, G_BP and G_RP (Vegamags)
28      gaiaDR2                                 Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
29      gaiaDR2maiz                             Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Maiz-Apellaniz and Weiler 2018)
30      gaiaDR2weiler                           Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Weiler 2018)
31      UVbright                                HST+GALEX+Swift/UVOT UV filters
32      acs_hrc                                 HST/ACS HRC
33      acs_wfc                                 HST/ACS WFC
34      nicmosab                                HST/NICMOS AB
35      nicmosvega                              HST/NICMOS Vega
36      stis                                    HST/STIS imaging mode, Vegamag
37      wfc3_wideverywide                       HST/WFC3 all W+LP+X filters (UVIS1+IR, final throughputs)
38      wfc3_verywide                           HST/WFC3 long-pass and extremely wide filters (UVIS1, final throughputs)
39      wfc3_medium                             HST/WFC3 medium filters (UVIS1+IR, final throughputs)
40      wfc3_wide                               HST/WFC3 wide filters (UVIS1+IR, final throughputs)
41      wfpc2                                   HST/WFPC2 (Vegamag, cf. Holtzman et al. 1995)
42      int_wfc                                 INT/WFC (Vegamag)
43      iphas                                   IPHAS
44      jwst_miri_wide                          JWST MIRI wide filters, Vegamags
45      jwst_nircam_wide                        JWST NIRCam wide+verywide filters, Vegamags
46      jwst_nircam_widemedium                  JWST NIRCam wide+verywide+medium filters, Vegamags
47      kepler                                  Kepler + SDSS griz + DDO51 (in ABmags)
48      kepler_2mass                            Kepler + SDSS griz + DDO51 (in ABmags) + 2MASS (~Vegamag)
49      lbt_lbc                                 LBT/LBC (Vegamag)
50      lsst_wfirst_proposed2017                LSST (ABmags) + WFIRST proposed filters (Vegamags)
51      lsst                                    LSST ugrizY, March 2012 total filter throughputs (all ABmags)
52      noao_ctio_mosaic2                       NOAO/CTIO/MOSAIC2 (Vegamag)
53      ogle                                    OGLE-II
54      panstarrs1                              Pan-STARRS1
55      splus                                   S-PLUS (Vegamags), revised on Nov. 2017
56      sloan                                   SDSS ugriz
57      sloan_2mass                             SDSS ugriz + 2MASS JHKs
58      sloan_ukidss                            SDSS ugriz + UKIDSS ZYJHK
59      swift_uvot                              SWIFT/UVOT UVW2, UVM2, UVW1,u (Vegamag)
60      skymapper                               SkyMapper (ABmags)
61      spitzer                                 Spitzer IRAC+MIPS
62      stroemgren                              Stroemgren-Crawford
63      suprimecam                              Subaru/Suprime-Cam (ABmags)
64      TESS_2mass                              TESS + 2MASS (Vegamags)
65      TESS_2mass_kepler                       TESS + 2MASS (Vegamags) + Kepler + SDSS griz + DDO51 (in ABmags)
66      ukidss                                  UKIDSS ZYJHK (Vegamag)
67      uvit                                    UVIT (all ABmags)
68      visir                                   VISIR
69      vista                                   VISTA ZYJHKs (Vegamag)
70      vphas                                   VPHAS+ (ABmags)
71      vst_omegacam                            VST/OMEGACAM (ABmag)
72      vilnius                                 Vilnius
73      wfirst_proposed2017                     WFIRST proposed filters, Vegamags
74      washington_ddo51                        Washington CMT1T2 + DDO51
75      deltaa                                  deltaa (Paunzen) + UBV (Maiz-Apellaniz), in Vegamags
